id,code,department_id/id,name,program_id/id,subject_ids
openeducat_core.op_course_1,BCA-CC-SEM-1,openeducat_core.op_department_1,BCA-CC-Semester-1,openeducat_core.program_1,"Fundamentals of Programming using C (Theory),Fundamentals of Programming using C (Practical),Digital and Mobile Media Marketing,Mathematical Aptitude"
openeducat_core.op_course_2,MCA-BD-SEM-1,openeducat_core.op_department_1,MCA-BD-Semester-1,openeducat_core.program_2,"Software Engineering,Data Structures,Java Programming,Advanced Database Management Systems"
openeducat_core.op_course_3,MCA-BD-SEM-2,openeducat_core.op_department_1,MCA-BD-Semester-2,openeducat_core.program_2,"Advanced Java Programming,Comprehensive Assessment,Computer Graphics"
openeducat_core.op_course_4,BCA-CC-SEM-2,openeducat_core.op_department_1,BCA-CC-Semester-2,openeducat_core.program_1,"Database Management Systems (Theory),Data Visualization for Business Intelligence"
openeducat_core.op_course_5,BCOM-AF-SEM-1,openeducat_core.op_department_2,BCOM-AF-Semester-1,openeducat_core.program_3,"Fundamentals of Accounting-1,Micro Economics,Principles of Marketing,Business Communication"
openeducat_core.op_course_6,BCOM-AF-SEM-2,openeducat_core.op_department_2,BCOM-AF-Semester-2,openeducat_core.program_3,"Financial Accounting-2,Consumer Behaviour,Creativity Event and Brand Management"
openeducat_core.op_course_7,BTECH-CE-SEM-1,openeducat_core.op_department_3,BTECH-CE-Semester-1,openeducat_core.program_5,"Elements of Civil Engineering,Civil Engineering Drawings,Mathematics - I"
openeducat_core.op_course_8,BA-PY-SEM-1,openeducat_core.op_department_4,BA-PY-Semester-1,openeducat_core.program_4,"Developmental Psychology-1,Indian Society and culture,Soft Skills,Climate Change & Sustainable Environment"
openeducat_core.op_course_9,BTECH-CH-SEM-1,openeducat_core.op_department_3,BTECH-CH-Semester-1,openeducat_core.program_6,"Chemistry,Engineering Graphics"
openeducat_core.op_course_10,BA-PY-SEM-2,openeducat_core.op_department_4,BA-PY-Semester-2,openeducat_core.program_4,"Developmental Psychology-2,Digital Health,Mathematical"
openeducat_core.op_course_11,D-AE-S1,openeducat_core.op_department_3,DIPLOMA-AE-Semester-1,openeducat_core.program_7,"Soil Science & Agriculture for Engineers,Soil Science & Agriculture for Engineers Lab"
openeducat_core.op_course_12,D-EE-S1,openeducat_core.op_department_3,DIPLOMA-EE-Semester-1,openeducat_core.program_8,"Engineering Mechanics,Fundamentals of Electrical and Electronics Engineering"
openeducat_core.op_course_13,CT-CS,openeducat_core.op_department_1,CYBER-SECURITY,openeducat_core.program_9,"Digital Securities Introduction,Cryptography and Secure communication,Asymmetric Key Cryptography,Symmetric Key Cryptography,Public Key Cryptography,Computer crime and legal issues"
openeducat_core.op_course_14,IE-CSE-M-S1,openeducat_core.op_department_3,IE-CSE-MICROSOFT-Semester-1,openeducat_core.program_10,"Open-Source Tool,Communication Skills,Environmental Science"
openeducat_core.op_course_15,BCA-CC-SEM-3,openeducat_core.op_department_1,BCA-CC-Semester-3,openeducat_core.program_1,"Object Oriented Development with JAVA (Theory),Data Structure (Theory)"
